id,created_at,severity,event_type,message,source,actor_principal,actor_username,board_id
32769,2026-05-25T08:47:18.690176+00:00,OK,general,Regla ejecutada: horario_carga_cajero,system,system,,1
32768,2026-05-25T08:45:28.144928+00:00,INFO,general,Modo desactivado por trigger OFF: horario_autoservicio,system,system,,1
32767,2026-05-25T08:45:21.964380+00:00,OK,general,Regla ejecutada: horario_autoservicio,system,system,,1
32766,2026-05-25T08:45:17.448245+00:00,INFO,general,Modo desactivado por trigger OFF: horario_cerrado,system,system,,1
32765,2026-05-25T08:45:14.046539+00:00,OK,general,Regla ejecutada: horario_cerrado,system,system,,1
32764,2026-05-25T08:44:55.242172+00:00,INFO,general,Pulso finalizado: interfono_puerta_calle_interior,system,system,,1
32763,2026-05-25T08:44:52.241327+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_calle_interior,system,system,,1
32762,2026-05-25T08:44:49.119866+00:00,INFO,general,Pulso finalizado: interfono_puerta_calle_interior,system,system,,1
32761,2026-05-25T08:44:45.679155+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_calle_interior,system,system,,1
32760,2026-05-25T08:42:51.950280+00:00,INFO,general,"Restauradas salidas (estaban ON antes de la regla): OUT_02_01, OUT_02_02",system,system,,1
32759,2026-05-25T08:42:46.187203+00:00,INFO,general,Pulso finalizado: interfono_puerta_calle_interior,system,system,,1
32758,2026-05-25T08:42:43.146154+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_calle_interior,system,system,,1
32757,2026-05-25T08:42:37.091796+00:00,INFO,general,Pulso finalizado: interfono_puerta_oficina_interior,system,system,,1
32756,2026-05-25T08:42:34.089171+00:00,OK,general,Pulso 2s iniciado: interfono_puerta_oficina_interior,system,system,,1
32755,2026-05-25T08:42:18.979775+00:00,OK,general,Regla ejecutada: horario_carga_cajero,system,system,,1
32754,2026-05-25T08:41:47.488048+00:00,INFO,general,Modo desactivado por trigger OFF: horario_carga_cajero,system,system,,1
32753,2026-05-25T08:41:44.319754+00:00,OK,general,Regla ejecutada: horario_carga_cajero,system,system,,1
32752,2026-05-25T08:37:36.670868+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32751,2026-05-25T08:37:33.680209+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32750,2026-05-25T08:37:33.040164+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32749,2026-05-25T08:37:32.948574+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32748,2026-05-25T08:37:29.918224+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32747,2026-05-25T08:37:29.798281+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32746,2026-05-25T08:32:44.649274+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32745,2026-05-25T08:32:41.604705+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32744,2026-05-25T08:32:38.592544+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32743,2026-05-25T08:32:38.472243+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32742,2026-05-25T08:32:38.400458+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32741,2026-05-25T08:32:35.316534+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32740,2026-05-25T08:32:32.347701+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32739,2026-05-25T08:32:32.227654+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32738,2026-05-25T08:32:11.491151+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32737,2026-05-25T08:32:08.449203+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32736,2026-05-25T08:32:05.402681+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina_esclusa,system,system,,1
32735,2026-05-25T08:32:05.322532+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32734,2026-05-25T08:32:02.279055+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina_esclusa,system,system,,1
32733,2026-05-25T08:32:02.158730+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32732,2026-05-25T08:24:59.850331+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32731,2026-05-25T08:24:59.730088+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32730,2026-05-25T08:24:56.729755+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32729,2026-05-25T08:24:56.609575+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32728,2026-05-25T08:22:50.298122+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32727,2026-05-25T08:22:50.178141+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle,system,system,,1
32726,2026-05-25T08:22:38.289646+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32725,2026-05-25T08:22:38.170021+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle,system,system,,1
32724,2026-05-25T08:22:32.266162+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina_esclusa,system,system,,1
32723,2026-05-25T08:22:32.186998+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32722,2026-05-25T08:22:29.143148+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina_esclusa,system,system,,1
32721,2026-05-25T08:22:29.063028+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32720,2026-05-25T08:22:17.251454+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina_esclusa,system,system,,1
32719,2026-05-25T08:22:16.210621+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32718,2026-05-25T08:22:10.245223+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina_esclusa,system,system,,1
32717,2026-05-25T08:22:07.123030+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32716,2026-05-25T08:22:04.029222+00:00,INFO,general,Modo desactivado por trigger OFF: pulsador_emergencia_verde_puerta_calle,system,system,,1
32715,2026-05-25T08:22:00.907176+00:00,OK,general,Regla ejecutada: pulsador_emergencia_verde_puerta_calle,system,system,,1
32714,2026-05-25T08:20:53.259444+00:00,OK,general,Regla ejecutada: horario_extendido,system,system,,1
32713,2026-05-25T08:20:51.691961+00:00,INFO,general,Modo desactivado por trigger OFF: horario_esclusa,system,system,,1
32712,2026-05-25T08:20:45.662835+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_calle_esclusa,system,system,,1
32711,2026-05-25T08:20:39.740080+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_calle_esclusa,system,system,,1
32710,2026-05-25T08:20:10.442387+00:00,INFO,general,Pulso finalizado: interfono_puerta_calle_interior,system,system,,1
32709,2026-05-25T08:20:10.361205+00:00,INFO,general,Pulso finalizado: interfono_puerta_oficina_interior,system,system,,1
